date,area1,area2,area3,area4,area5,area6
2016-06-07,1714.2953819500842,1674.394030797312,1710.6371377526161,1313.6025971213583,2381.526640215938,2381.526640215938
2016-06-10,1656.419356763332,1398.118700135568,1492.9000672869438,2735.934383627013,2418.191870798312,2418.191870798312
2016-06-13,1600.5600063640848,1261.3310550791684,1204.1243084857772,3048.374290397092,2494.3190507458003,2494.3190507458003
2016-06-19,1340.9753457985425,1406.2577686588709,1589.6018469105998,1882.2263028973182,1878.798149111848,1878.798149111848
2016-06-22,1245.3516488615908,2000.3509362166146,1371.2971464369398,1289.173514135229,1345.6033948417753,1345.6033948417753
2016-07-04,1790.1277126085108,1854.182065874914,5715.623995253453,2846.758542624456,3710.3865981107047,3710.3865981107047
2016-07-07,4801.431974446434,5472.0768850012055,5850.953419786087,7484.5739842985,6241.014443060893,6241.014443060893
2016-07-25,14071.968027100398,14824.22736026358,14305.250701872432,13232.862131371958,13543.788718995802,13543.788718995802
2016-07-28,13046.805030279127,13613.64242789856,14466.736467203413,12215.50964059491,14048.266781131813,14048.266781131813
2016-07-31,13348.884462019338,14338.967924346944,15491.716745168113,12859.652030375259,15065.088102806505,15065.088102806505
2016-08-03,13654.275206915638,15064.293420795313,16517.629262197,13504.208748628575,16088.745844285417,16088.745844285417
2016-08-06,12607.16799307022,11965.387828023853,11493.601939720176,10204.896478649931,11660.658213260942,11660.658213260942
2016-08-15,12402.973386853522,11619.686651662447,12036.077789894578,11126.999272991636,11708.58565937338,11708.58565937338
2016-08-18,13291.01257015832,12332.803270410343,13324.44967120265,11663.848749739944,11563.900195377695,11563.900195377695
