date,area1SN,area2SN,area3SN,area4SN,area5SN,area6SN
2019-06-10,3.0108,7.6972000000000005,3.3952,0.78,5.5056,4.5764000000000005
2019-06-13,3.0492000000000004,7.7008,3.4112,0.7808,5.514,4.6036
2019-06-16,3.0492000000000004,7.7008,3.4112,0.7808,5.514,4.6036
2019-06-22,0.1632,0.45880000000000004,0.7468,0.028800000000000003,0.09040000000000001,0.1792
2019-06-25,0.1632,0.45880000000000004,0.7468,0.028800000000000003,0.09040000000000001,0.1792
2019-06-28,0.1632,0.45880000000000004,0.7468,0.028800000000000003,0.09040000000000001,0.1792
2019-07-01,0.1632,0.45880000000000004,0.7468,0.028800000000000003,0.09040000000000001,0.1792
2019-07-04,0.1632,0.45880000000000004,0.7468,0.028800000000000003,0.09040000000000001,0.1792
2019-07-07,0.1632,0.45880000000000004,0.7468,0.028800000000000003,0.09040000000000001,0.1792
2019-07-10,0.028,0.0056,0.1908,0.002,0.0004,0.0
2019-07-13,0.028,0.0056,0.1908,0.002,0.0004,0.0
2019-07-25,0.009600000000000001,0.0,0.0444,0.0012000000000000001,0.0,0.0
2019-07-28,0.009600000000000001,0.0,0.0444,0.0012000000000000001,0.0,0.0
2019-07-31,0.009600000000000001,0.0,0.0444,0.0012000000000000001,0.0,0.0
2019-08-03,0.008,0.0,0.0056,0.0012000000000000001,0.0,0.0
2019-08-06,0.008,0.0,0.0068000000000000005,0.0012000000000000001,0.0,0.0
2019-08-09,0.0048000000000000004,0.0,0.0024000000000000002,0.0008,0.0,0.0
2019-08-12,0.006,0.0,0.0012000000000000001,0.0012000000000000001,0.0,0.0
2019-08-15,15.5028,9.2676,9.813600000000001,5.9108,15.5876,12.959200000000001
2019-08-18,15.5028,9.2676,9.813600000000001,5.9108,15.5876,12.959200000000001
2019-08-21,15.5028,9.2676,9.813600000000001,5.9108,15.5876,12.959200000000001
2019-08-24,15.5028,9.2676,9.813600000000001,5.9108,15.5876,12.959200000000001
2019-08-27,15.5036,9.2676,9.813600000000001,5.9108,15.5876,12.959200000000001
2019-08-30,15.5036,9.2676,9.813600000000001,5.9108,15.5876,12.959200000000001
