Cells(ppb),Cells(cells/mL),BBA1,BBA2,BBA3,,,,
0,0,0.7,0.618,0.553,,,,
1000,116.011972435555,0.697,0.612,0.528,,0.003,0.00600000000000001,0.025
2000,232.023944871111,0.691,0.607,0.524,,0.00600000000000001,0.005,0.004
4000,464.047889742221,0.682,0.597,0.514,,0.00900000000000001,0.01,0.01
8000,928.095779484443,0.663,0.579,0.496,,0.019,0.018,0.018
16000,1856.19155896889,0.632,0.546,0.466,,0.031,0.0329999999999999,0.03
32000,3712.38311793777,0.582,0.493,0.416,,0.05,0.053,0.05
64000,7424.76623587554,0.514,0.418,0.348,,0.0679999999999999,0.075,0.068
128000,14849.5324717511,0.424,0.333,0.269,,0.09,0.085,0.079
256000,29699.0649435022,0.333,0.252,0.197,,0.091,0.081,0.072
512000,59398.1298870043,0.259,0.194,0.149,,0.074,0.058,0.048
