,,,,,,,,
grain size,density,algae,SZA,2DBA,3DBA,NDCI,MCI,II
5000,650,0,0.52,0.963,0.041,0.015,-0.019,0.222
5000,650,1000,0.52,0.965,0.038,0.014,-0.018,0.2489
5000,650,5000,0.52,0.976,0.026,0.009,-0.012,0.3533
5000,650,10000,0.52,0.988,0.012,0.003,-0.006,0.482
5000,650,20000,0.52,1.015,-0.014,-0.008,0.007,0.737
5000,650,30000,0.52,1.041,-0.036,-0.018,0.02,0.987
5000,650,40000,0.52,1.067,-0.055,-0.026,0.033,1.233
5000,650,50000,0.52,1.094,-0.072,-0.034,0.045,1.477
5000,650,0,0.72,0.957,0.049,0.017,-0.022,0.226
5000,650,1000,0.72,0.959,0.046,0.0157,-0.021,0.246
5000,650,5000,0.72,0.967,0.035,0.011,-0.016,0.323
5000,650,10000,0.72,0.979,0.022,0.006,-0.011,0.419
5000,650,20000,0.72,1.001,-0.0012,-0.0026,0.0006,0.607
5000,650,30000,0.72,1.024,-0.022,-0.011,0.012,0.793
5000,650,40000,0.72,1.046,-0.04,-0.019,0.023,0.976
5000,650,50000,0.72,1.069,-0.056,-0.026,0.033,1.158
